Variable:,hd35
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"South Africa",11.39,2.00,1.68,0.85,0.21,0.01,0.00,0.00,0.04,0.52,1.86,2.13,2.28
"Eastern Cape",3.45,0.90,0.53,0.17,0.07,0.00,0.00,0.00,0.00,0.02,0.32,0.59,1.01
KwaZulu-Natal,2.10,0.38,0.18,0.12,0.00,-0.00,0.00,0.00,-0.00,0.06,0.39,0.39,0.52
Limpopo,15.36,1.35,1.10,0.74,0.38,0.03,0.00,0.00,0.17,1.03,4.07,3.15,1.63
Mpumalanga,3.90,0.28,0.26,0.09,0.01,0.00,0.00,0.00,0.01,0.17,1.20,0.97,0.72
"North West",17.96,3.28,2.46,1.58,0.20,0.00,0.00,0.00,0.02,1.25,4.45,4.13,3.47
"Northern Cape",15.60,2.93,2.87,1.42,0.31,0.00,0.00,0.00,0.01,0.48,1.52,2.47,3.16
Gauteng,10.03,1.22,0.77,0.28,0.00,0.00,0.00,0.00,0.00,0.50,2.67,2.35,1.69
"Free State",12.16,2.47,1.73,0.51,0.02,0.00,0.00,0.00,0.00,0.29,1.87,2.78,3.79
"Western Cape",2.99,0.92,0.86,0.40,0.04,0.00,0.00,0.00,0.00,-0.00,0.11,0.34,0.56
